Breed |Height_low_inches|Height_high_inches|Weight_low_lbs|Weight_high_lbs|Life_expectancy_years
Afghan Hound |25 |29 |50 |60 |12
Airedale Terrier |22 |24 |50 |70 |11
Akita |26 |28 |75 |120 |10
Alaskan Malamute |23 |25 |75 |100 |12
American Bulldog |20 |28 |60 |120 |10
American Eskimo Dog |9 |19 |6 |35 |13
American Foxhound |21 |25 |45 |65 |11
American Pit Bull Terrier |18 |21 |30 |65 |12
American Staffordshire Terrier |17 |19 |40 |70 |12
Anatolian Shepherd Dog |27 |29 |80 |150 |11
Australian Cattle Dog |17 |20 |30 |62 |12
Australian Kelpie |17 |20 |30 |50 |14
Australian Terrier |9 |11 |9 |14 |15
Basenji |16 |17 |22 |24 |12
Basset Bleu de Gascogne |22 |27 |35 |55 |12
Basset Fauve de Bretagne |11 |15 |36 |44 |12
Bavarian Mountain Hound |17 |21 |44 |77 |12
Bearded Collie |20 |22 |45 |55 |14
Bedlington Terrier |15 |17 |17 |23 |14
Belgian Malinois |22 |26 |40 |80 |12
Belgian Sheepdog |22 |26 |40 |75 |10
Bernese Mountain Dog |23 |28 |70 |115 |8
Bichon Frise |9 |11 |10 |18 |15
Black and Tan Coonhound |23 |27 |55 |75 |12
Bloodhound |24 |26 |80 |110 |10
Bluetick Coonhound |21 |27 |45 |80 |12
Border Collie |18 |22 |30 |55 |12
Border Terrier |11 |14 |11 |16 |15
Borzoi |26 |28 |60 |105 |10
Boston Terrier |15 |17 |12 |25 |15
Bouvier des Flandres |23 |27 |70 |110 |12
Boxer |21 |25 |50 |80 |10
Boykin Spaniel |14 |18 |25 |40 |14
Shetland Sheepdog |13 |16 |15 |25 |12
Cocker Spaniel |14 |15 |20 |30 |12
Dachshund (Miniature) |5 |6 |8 |11 |14
Dalmatian |19 |24 |45 |70 |12
Border Collie |18 |22 |30 |50 |12
Chow Chow |17 |20 |45 |70 |12
American Pit Bull Terrier |17 |21 |30 |60 |12
Bernese Mountain Dog |23 |28 |70 |115 |8
Bichon Frise |9 |11 |12 |18 |14
Boston Terrier |15 |17 |12 |25 |13
Boxer |21 |25 |50 |80 |12
Brittany Spaniel |17 |20 |30 |40 |14
Bullmastiff |24 |27 |100 |130 |9
Cane Corso |23 |28 |88 |120 |12
Cavalier King Charles Spaniel |12 |13 |13 |18 |10
Cesky Terrier |10 |13 |16 |22 |12
Chesapeake Bay Retriever |21 |26 |55 |80 |10
Chinese Crested |11 |13 |8 |12 |13
Chinese Shar-Pei |18 |20 |45 |60 |9
Chinook |22 |26 |50 |90 |12
Chow Chow |17 |20 |45 |70 |12
Clumber Spaniel |16 |20 |55 |85 |10
Cockapoo |10 |15 |12 |24 |14
Cocker Spaniel |14 |15 |20 |30 |12
Collie (Rough) |22 |26 |50 |75 |12
Collie (Smooth) |22 |26 |50 |75 |12
Coton de Tulear |8 |12 |8 |13 |14
Curly-Coated Retriever |23 |27 |60 |95 |9
Dalmatian |19 |24 |45 |70 |12
Dandie Dinmont Terrier |8 |11 |18 |24 |12
Doberman Pinscher |24 |28 |65 |90 |11
Dogo Argentino |23 |27 |80 |100 |10
Dogue de Bordeaux |23 |30 |110 |145 |5
Dutch Shepherd |21 |25 |50 |75 |11
English Cocker Spaniel |15 |17 |26 |34 |12
