% Citation Request
% Murat KOKLU and ILKER ALI OZKAN
% KOKLU, M. and OZKAN, I.A., (2020), "Multiclass Classification of Dry Beans Using Computer Vision and Machine Learning Techniques." Computers and Electronics in Agriculture, 174, 105507. DOI: https://doi.org/10.1016/j.compag.2020.105507
% Citation Request
Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395,610.3,208.2,173.9,1.197,0.5498,28715,190.1,0.7639,0.9889,0.958,0.9134,0.007332,0.003147,0.8342,0.9987,SEKER
28734,638,200.5,182.7,1.097,0.4118,29172,191.3,0.784,0.985,0.887,0.9539,0.006979,0.003564,0.9099,0.9984,SEKER
29380,624.1,212.8,175.9,1.21,0.5627,29690,193.4,0.7781,0.9896,0.9478,0.9088,0.007244,0.003048,0.8259,0.9991,SEKER
30008,645.9,210.6,182.5,1.154,0.4986,30724,195.5,0.7827,0.9767,0.9039,0.9283,0.007017,0.003215,0.8618,0.9942,SEKER
30140,620.1,201.8,190.3,1.061,0.3337,30417,195.9,0.7731,0.9909,0.9849,0.9705,0.006697,0.003665,0.9419,0.9992,SEKER
30279,634.9,212.6,181.5,1.171,0.5204,30600,196.3,0.7757,0.9895,0.9439,0.9237,0.00702,0.003153,0.8533,0.9992,SEKER
30477,670,211.1,184,1.147,0.4895,30970,197,0.7624,0.9841,0.8531,0.9334,0.006925,0.003242,0.8712,0.999,SEKER
30519,629.7,213,182.7,1.166,0.5138,30847,197.1,0.7707,0.9894,0.9671,0.9255,0.006979,0.003158,0.8565,0.9983,SEKER
30685,635.7,213.5,183.2,1.166,0.5141,31044,197.7,0.7716,0.9884,0.9542,0.9257,0.006959,0.003152,0.8568,0.999,SEKER
30834,631.9,217.2,180.9,1.201,0.5536,31120,198.1,0.7837,0.9908,0.9703,0.9121,0.007045,0.003008,0.832,0.9991,SEKER
30917,640.8,213.6,184.4,1.158,0.5041,31280,198.4,0.7708,0.9884,0.9463,0.929,0.006908,0.003174,0.8631,0.9994,SEKER
31091,638.6,210.5,188.3,1.118,0.4466,31458,199,0.7864,0.9883,0.9582,0.9453,0.00677,0.003334,0.8935,0.9986,SEKER
31107,640.6,214.6,185,1.16,0.5074,31423,199,0.761,0.9899,0.9526,0.9272,0.0069,0.003145,0.8596,0.9976,SEKER
31158,642.6,216.5,183.6,1.179,0.5295,31492,199.2,0.7988,0.9894,0.9481,0.9201,0.006948,0.003071,0.8465,0.9979,SEKER
31158,641.1,212.1,187.2,1.133,0.4699,31474,199.2,0.7813,0.99,0.9526,0.9392,0.006806,0.003267,0.8821,0.9993,SEKER
31178,636.9,213,186.6,1.142,0.4824,31520,199.2,0.7641,0.9891,0.9659,0.9355,0.006831,0.003227,0.8752,0.9991,SEKER
31202,644.5,215.6,184.5,1.169,0.5179,31573,199.3,0.7792,0.9882,0.9441,0.9243,0.006911,0.003112,0.8543,0.9987,SEKER
31203,639.8,215.1,184.9,1.163,0.5109,31558,199.3,0.763,0.9888,0.9579,0.9268,0.006893,0.003137,0.8589,0.9992,SEKER
31272,638.7,212.5,187.5,1.133,0.4699,31593,199.5,0.7703,0.9898,0.9634,0.9392,0.006794,0.003261,0.8822,0.9994,SEKER
31335,635,216.8,184.2,1.177,0.5276,31599,199.7,0.7743,0.9916,0.9765,0.9214,0.006918,0.003075,0.8489,0.9993,SEKER
31374,636.4,219.9,182,1.208,0.561,31604,199.9,0.7692,0.9927,0.9735,0.909,0.007008,0.002952,0.8264,0.9982,SEKER
31530,638.9,213.8,188.1,1.137,0.4755,31791,200.4,0.7689,0.9918,0.9708,0.9372,0.00678,0.003227,0.8784,0.9985,SEKER
31573,674.1,217.3,185.4,1.172,0.5213,32197,200.5,0.757,0.9806,0.8731,0.9227,0.006883,0.003077,0.8513,0.9975,SEKER
31637,656.7,229.7,175.5,1.309,0.6452,32045,200.7,0.7618,0.9873,0.9218,0.8737,0.007261,0.00261,0.7633,0.9991,SEKER
31675,657.4,236.8,171.2,1.383,0.6907,32009,200.8,0.7409,0.9896,0.9209,0.8482,0.007474,0.002387,0.7195,0.995,SEKER
31682,646.7,210,192.2,1.093,0.4028,32026,200.8,0.7732,0.9893,0.9519,0.9562,0.00663,0.003419,0.9143,0.999,SEKER
31703,656.3,215.7,187.3,1.152,0.4963,32093,200.9,0.7771,0.9878,0.9249,0.9314,0.006804,0.003159,0.8675,0.9992,SEKER
31748,641.8,219.8,184.1,1.194,0.5461,32020,201.1,0.7756,0.9915,0.9685,0.9148,0.006923,0.002991,0.8369,0.999,SEKER
31768,651,221,183.3,1.206,0.5585,32173,201.1,0.7777,0.9874,0.9421,0.9102,0.006955,0.002945,0.8285,0.9987,SEKER
31811,642.1,224,180.9,1.238,0.5896,32052,201.3,0.7739,0.9925,0.9696,0.8985,0.007041,0.002831,0.8073,0.9995,SEKER
31821,649.7,213.7,190,1.125,0.4583,32168,201.3,0.7724,0.9892,0.9474,0.9417,0.006717,0.003259,0.8869,0.9978,SEKER
31823,662.5,222.9,181.9,1.225,0.5779,32274,201.3,0.7748,0.986,0.911,0.9032,0.007004,0.002875,0.8157,0.9995,SEKER
31837,656.4,224.9,180.4,1.246,0.597,32238,201.3,0.7852,0.9876,0.9285,0.8952,0.007065,0.002798,0.8013,0.9988,SEKER
31915,640.7,216.3,188.1,1.15,0.4941,32184,201.6,0.7777,0.9916,0.9769,0.9319,0.006778,0.003153,0.8684,0.9988,SEKER
31972,640,213.7,190.6,1.121,0.4517,32246,201.8,0.7723,0.9915,0.981,0.9442,0.006684,0.003277,0.8915,0.9993,SEKER
31992,640.3,212.9,191.5,1.112,0.437,32258,201.8,0.7742,0.9918,0.9805,0.948,0.006654,0.003316,0.8988,0.9992,SEKER
31994,654.5,212.2,192.4,1.103,0.4213,32391,201.8,0.7897,0.9877,0.9385,0.9513,0.006632,0.00335,0.9049,0.9978,SEKER
32015,653.7,212.9,191.8,1.11,0.4342,32375,201.9,0.7619,0.9889,0.9415,0.9482,0.006651,0.003316,0.8991,0.9981,SEKER
32026,654.2,231,176.9,1.305,0.6428,32349,201.9,0.7794,0.99,0.9402,0.8742,0.007212,0.002599,0.7643,0.9978,SEKER
32038,645.1,224.5,181.9,1.234,0.5858,32308,202,0.7705,0.9916,0.9675,0.8997,0.007007,0.002832,0.8095,0.9988,SEKER
32044,652.7,216.1,189,1.144,0.4854,32395,202,0.7781,0.9892,0.9454,0.9345,0.006745,0.003173,0.8733,0.9989,SEKER
32057,642.1,215.9,189.3,1.141,0.481,32301,202,0.7798,0.9924,0.9771,0.9357,0.006735,0.003185,0.8755,0.9986,SEKER
32066,669.3,236.4,173.2,1.365,0.6806,32481,202.1,0.7809,0.9872,0.8995,0.8546,0.007373,0.002426,0.7303,0.9968,SEKER
32109,663.6,224.5,182.4,1.231,0.5831,32567,202.2,0.7676,0.9859,0.9163,0.9008,0.006991,0.002839,0.8114,0.9987,SEKER
32114,648.6,222.7,183.8,1.211,0.5642,32393,202.2,0.7607,0.9914,0.9594,0.9082,0.006933,0.002909,0.8248,0.999,SEKER
32167,654.9,218,188.2,1.158,0.5044,32521,202.4,0.7606,0.9891,0.9425,0.9285,0.006776,0.003107,0.8621,0.9984,SEKER
32213,658.2,221.5,185.3,1.195,0.5478,32585,202.5,0.7629,0.9886,0.9343,0.9144,0.006876,0.002965,0.8361,0.9994,SEKER
32218,653.6,222.8,184.4,1.208,0.561,32566,202.5,0.7544,0.9893,0.9477,0.9092,0.006914,0.002915,0.8267,0.9986,SEKER
32233,665.5,221.2,185.6,1.192,0.5443,32710,202.6,0.7752,0.9854,0.9146,0.9157,0.006864,0.002977,0.8385,0.9995,SEKER
32251,644.1,221,186,1.188,0.5397,32514,202.6,0.7641,0.9919,0.977,0.917,0.006852,0.002989,0.8409,0.9989,SEKER
32258,654.8,220.8,186.3,1.185,0.5369,32612,202.7,0.7758,0.9891,0.9454,0.9178,0.006845,0.002997,0.8424,0.9986,SEKER
32262,652.4,222.7,184.5,1.207,0.5599,32563,202.7,0.7813,0.9908,0.9525,0.9101,0.006903,0.002921,0.8283,0.9997,SEKER
32279,646.6,218.2,188.6,1.157,0.5031,32623,202.7,0.7902,0.9895,0.9703,0.9292,0.006759,0.003108,0.8634,0.999,SEKER
32323,649.6,217.4,189.6,1.147,0.4891,32615,202.9,0.7848,0.991,0.9626,0.9333,0.006725,0.003147,0.871,0.9986,SEKER
32338,653.6,221.4,186.1,1.19,0.5415,32672,202.9,0.7825,0.9898,0.9513,0.9165,0.006847,0.002979,0.8399,0.9991,SEKER
32355,657.2,221.3,186.4,1.187,0.5392,32720,203,0.7838,0.9888,0.9415,0.9172,0.006839,0.002986,0.8413,0.999,SEKER
32368,675.4,221.7,186.2,1.191,0.5427,32806,203,0.7591,0.9866,0.8917,0.9159,0.006848,0.002972,0.8388,0.9987,SEKER
32376,643,219.1,188.3,1.164,0.5115,32608,203,0.7843,0.9929,0.984,0.9265,0.006768,0.003077,0.8585,0.999,SEKER
32433,653.8,219.8,188,1.169,0.5183,32775,203.2,0.7693,0.9896,0.9536,0.9244,0.006778,0.003053,0.8545,0.9991,SEKER
32465,653.9,225.2,183.7,1.226,0.5785,32767,203.3,0.765,0.9908,0.9543,0.9028,0.006937,0.002842,0.815,0.9992,SEKER
32514,649,221.4,187.1,1.183,0.5347,32843,203.5,0.785,0.99,0.97,0.9188,0.006811,0.002994,0.8442,0.999,SEKER
32518,651.7,221.3,187.3,1.182,0.5327,32811,203.5,0.7589,0.9911,0.9623,0.9196,0.006804,0.003002,0.8457,0.9993,SEKER
32518,655.1,220.8,187.7,1.177,0.527,32842,203.5,0.794,0.9901,0.9521,0.9215,0.006791,0.00302,0.8491,0.9991,SEKER
32525,663.9,225.1,184.2,1.222,0.5746,33000,203.5,0.7691,0.9856,0.9273,0.9041,0.00692,0.002852,0.8175,0.9988,SEKER
32578,657.6,227,182.8,1.242,0.5928,32901,203.7,0.7819,0.9902,0.9468,0.8971,0.006969,0.002784,0.8047,0.9992,SEKER
32581,649.6,224.4,184.9,1.214,0.5666,32851,203.7,0.7721,0.9918,0.9703,0.9075,0.006888,0.002882,0.8236,0.9996,SEKER
32615,664.8,218.1,191,1.142,0.4831,33016,203.8,0.8086,0.9879,0.9274,0.9341,0.006689,0.003142,0.8726,0.9966,SEKER
32622,657,235.3,177.2,1.328,0.658,32902,203.8,0.7793,0.9915,0.9497,0.8662,0.007212,0.002505,0.7504,0.9965,SEKER
32698,653,225,185.1,1.215,0.5683,32994,204,0.7677,0.991,0.9635,0.9068,0.006882,0.00287,0.8223,0.9993,SEKER
32705,654.5,223.9,186.1,1.203,0.5555,33021,204.1,0.7795,0.9904,0.9595,0.9115,0.006845,0.002915,0.8308,0.9992,SEKER
