# source: https://data.world/data-society/european-soccer-data
country,date,home_team,away_team,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
Belgium,2015-07-24,Sint-Truidense VV,Club Brugge KV,2,1,4.33,4.0,1.7,4.5,3.8,1.72,4.2,3.5,1.8
Belgium,2015-07-25,KV Kortrijk,Standard de Liege,2,1,2.6,3.4,2.6,2.5,3.25,2.75,2.6,3.2,2.6
Belgium,2015-07-25,KRC Genk,Oud-Heverlee Leuven,3,1,1.62,3.75,5.5,1.62,3.75,5.5,1.6,3.7,5.4
Belgium,2015-07-25,KV Oostende,KV Mechelen,3,1,2.5,3.3,2.8,2.5,3.3,2.7,2.5,3.3,2.65
Belgium,2015-07-25,SV Zulte-Waregem,Sporting Lokeren,3,1,2.38,3.4,2.88,2.3,3.4,2.9,2.3,3.3,2.9
Belgium,2015-07-26,KVC Westerlo,KAA Gent,1,1,4.0,3.6,1.85,4.25,3.8,1.75,4.5,3.5,1.75
Belgium,2015-07-26,RSC Anderlecht,Waasland-Beveren,3,2,1.2,7.0,11.0,1.22,5.25,17.0,1.2,5.8,13.0
Belgium,2015-07-26,Sporting Charleroi,Royal Excel Mouscron,2,1,1.67,3.75,5.0,1.7,3.7,4.75,1.75,3.5,4.5
Belgium,2015-10-04,RSC Anderlecht,KV Mechelen,1,1,1.44,4.75,6.0,1.44,4.4,6.75,1.4,4.4,7.3
Belgium,2015-10-04,KAA Gent,Club Brugge KV,4,1,2.1,3.5,3.25,2.15,3.4,3.25,2.2,3.3,3.1
Belgium,2015-10-04,KRC Genk,Standard de Liege,3,1,2.1,3.5,3.3,2.1,3.4,3.3,2.2,3.3,3.1
Belgium,2015-10-02,KV Oostende,Sporting Lokeren,2,0,1.85,3.5,4.2,1.91,3.6,3.75,1.9,3.45,3.8
Belgium,2015-10-03,Sporting Charleroi,SV Zulte-Waregem,3,0,2.0,3.5,3.6,2.05,3.4,3.5,2.1,3.3,3.3
Belgium,2015-10-03,Oud-Heverlee Leuven,Royal Excel Mouscron,1,1,1.95,3.6,3.6,1.95,3.5,3.7,2.0,3.3,3.6
Belgium,2015-10-03,KVC Westerlo,KV Kortrijk,1,1,3.1,3.3,2.3,3.0,3.4,2.25,3.1,3.3,2.2
Belgium,2015-10-03,Sint-Truidense VV,Waasland-Beveren,1,3,1.75,3.75,4.5,1.8,3.7,4.1,1.75,3.5,4.5
