Marka,Evjarat,Ar,Allam,Szin,Hiba
Lexus,2016,43618,Vermont,Yellow,Brakes
BMW,2011,46964,Connecticut,Yellow,Tires
Kia,2018,46595,Georgia,Red,Exterior
Subaru,2011,33180,Minnesota,Orange,Transmission
Chevrolet,1990,23301,California,Silver,Tires
Ford,2000,12985,Wisconsin,Yellow,Exhaust
BMW,2005,17932,Arkansas,Yellow,Suspension
Volkswagen,1993,43969,Kentucky,Yellow,Transmission
Mercedes,1995,5325,Massachusetts,Green,Exterior
Mazda,2015,29963,North Dakota,White,Interior
Lexus,2004,27390,Arizona,Yellow,Suspension
Honda,2017,11829,New Mexico,Silver,Exhaust
Hyundai,2022,17527,Georgia,Red,Exhaust
Chevrolet,2000,15185,Arizona,White,Interior
Subaru,2023,11034,Hawaii,Silver,Suspension
Honda,2017,2022,Kansas,Yellow,Tires
Volvo,2018,15092,Tennessee,Red,Suspension
Honda,2015,35879,Arkansas,Blue,Interior
Porsche,2019,27769,Montana,Blue,Engine
Honda,2007,23792,North Dakota,Black,Engine
Mercedes,2011,39219,Vermont,White,Engine
Volvo,2012,40716,Iowa,Orange,Exterior
Mazda,1993,39253,Washington,Orange,Exhaust
Honda,2005,49201,Vermont,Green,Suspension
Mazda,2018,10727,Mississippi,Red,Transmission
Lexus,2000,27311,Washington,Black,Brakes
Subaru,1992,36276,Michigan,Black,Exterior
Honda,2017,7994,Idaho,Gray,Transmission
Nissan,1996,31210,Massachusetts,White,Suspension
Subaru,2023,18285,Alaska,Black,Exterior
Mazda,2013,7133,Vermont,Silver,Exterior
Volkswagen,2015,28466,Hawaii,Black,Interior
Hyundai,2001,49175,Indiana,Yellow,Engine
Toyota,2004,18190,Oregon,Silver,Tires
Porsche,2018,10675,Wisconsin,Orange,Exterior
Nissan,1990,2851,New York,Green,Transmission
Mercedes,2020,16824,Idaho,Green,Exhaust
Volvo,2014,23490,Tennessee,Red,Exterior
Lexus,2010,16827,Kentucky,Black,Brakes
Audi,2003,7285,Maryland,Green,Exterior
Honda,1996,42290,Tennessee,Blue,Exterior
Lexus,1998,32459,Louisiana,White,Brakes
BMW,1996,26751,Oklahoma,Gray,Exterior
Audi,2018,29059,Michigan,Blue,Interior
Volkswagen,1991,13020,Texas,Green,Interior
Hyundai,2006,46436,Vermont,White,Exhaust
Mercedes,2020,42167,Montana,Black,Engine
Ford,1994,28384,Idaho,Gray,Exhaust
Lexus,2003,22251,Mississippi,Gray,Tires
Volvo,2003,12174,New Jersey,Green,Suspension
Maserati,1991,10161,Iowa,Yellow,Suspension
Subaru,2013,38119,Wyoming,Gray,Transmission
Lexus,2001,26288,Wisconsin,Blue,Engine
Volkswagen,2005,47399,Kentucky,Silver,Exhaust
Chevrolet,2008,49753,Colorado,Black,Tires
Chevrolet,2015,15870,Oklahoma,Silver,Exterior
Audi,2016,12267,Pennsylvania,Red,Engine
